symbol,date,expiry,strike price,underlying value,call price,put price
NIFTY,29-Dec-22,29-Dec-22,18150,18191.0,29.9,2.45
NIFTY,29-Dec-22,29-Dec-22,19700,18191.0,0.05,1561.7
NIFTY,29-Dec-22,29-Dec-22,16850,18191.0,1248.0,0.1
NIFTY,29-Dec-22,29-Dec-22,19100,18191.0,0.05,929.7
NIFTY,29-Dec-22,29-Dec-22,16050,18191.0,2400.05,0.1
NIFTY,29-Dec-22,29-Dec-22,19800,18191.0,0.05,1803.85
NIFTY,29-Dec-22,29-Dec-22,15000,18191.0,3197.9,0.1
NIFTY,29-Dec-22,29-Dec-22,22000,18191.0,0.15,3817.6
NIFTY,29-Dec-22,29-Dec-22,17550,18191.0,640.2,0.1
NIFTY,29-Dec-22,29-Dec-22,16750,18191.0,1394.55,0.1
NIFTY,29-Dec-22,29-Dec-22,16450,18191.0,1562.0,0.1
NIFTY,29-Dec-22,29-Dec-22,17350,18191.0,833.2,0.1
NIFTY,29-Dec-22,29-Dec-22,16000,18191.0,2192.55,0.1
NIFTY,29-Dec-22,29-Dec-22,17400,18191.0,787.45,0.1
NIFTY,29-Dec-22,29-Dec-22,16300,18191.0,1750.0,0.05
NIFTY,29-Dec-22,29-Dec-22,20000,18191.0,0.05,1817.15
NIFTY,29-Dec-22,29-Dec-22,19200,18191.0,0.05,1018.65
NIFTY,29-Dec-22,29-Dec-22,16150,18191.0,1870.0,0.1
NIFTY,29-Dec-22,29-Dec-22,18000,18191.0,179.7,0.3
NIFTY,29-Dec-22,29-Dec-22,17850,18191.0,329.8,0.2
NIFTY,29-Dec-22,29-Dec-22,19750,18191.0,0.05,1727.75
NIFTY,29-Dec-22,29-Dec-22,18050,18191.0,128.7,0.35
NIFTY,29-Dec-22,29-Dec-22,16100,18191.0,1980.0,0.05
NIFTY,29-Dec-22,29-Dec-22,16600,18191.0,1550.05,0.1
NIFTY,29-Dec-22,29-Dec-22,18500,18191.0,0.1,317.2
NIFTY,29-Dec-22,29-Dec-22,21000,18191.0,0.05,2836.0
NIFTY,29-Dec-22,29-Dec-22,11500,18191.0,6684.0,0.15
NIFTY,29-Dec-22,29-Dec-22,17800,18191.0,380.05,0.15
NIFTY,29-Dec-22,29-Dec-22,17000,18191.0,1190.1,0.05
NIFTY,29-Dec-22,29-Dec-22,15550,18191.0,1691.25,0.05
NIFTY,29-Dec-22,29-Dec-22,16800,18191.0,1396.4,0.1
NIFTY,29-Dec-22,29-Dec-22,17150,18191.0,1039.55,0.05
NIFTY,29-Dec-22,29-Dec-22,16250,18191.0,1921.2,0.05
NIFTY,29-Dec-22,29-Dec-22,20200,18191.0,0.05,2711.9
NIFTY,29-Dec-22,29-Dec-22,20250,18191.0,0.1,2757.3
NIFTY,29-Dec-22,29-Dec-22,19550,18191.0,0.1,1365.0
NIFTY,29-Dec-22,29-Dec-22,17900,18191.0,279.3,0.2
NIFTY,29-Dec-22,29-Dec-22,20100,18191.0,0.1,1887.0
NIFTY,29-Dec-22,29-Dec-22,16700,18191.0,1460.0,0.1
NIFTY,29-Dec-22,29-Dec-22,15300,18191.0,2715.0,0.05
NIFTY,29-Dec-22,29-Dec-22,18200,18191.0,2.1,15.7
NIFTY,29-Dec-22,29-Dec-22,18800,18191.0,0.05,620.0
NIFTY,29-Dec-22,29-Dec-22,14000,18191.0,4194.1,0.1
NIFTY,29-Dec-22,29-Dec-22,19000,18191.0,0.05,814.35
NIFTY,29-Dec-22,29-Dec-22,16900,18191.0,1298.3,0.05
NIFTY,29-Dec-22,29-Dec-22,19250,18191.0,0.1,1215.0
NIFTY,29-Dec-22,29-Dec-22,16350,18191.0,1780.0,0.1
NIFTY,29-Dec-22,29-Dec-22,17950,18191.0,231.35,0.25
NIFTY,29-Dec-22,29-Dec-22,19850,18191.0,0.05,1703.95
