symbol,date,expiry,strike price,underlying value,call price,put price
BHARTIARTL,29-Dec-22,29-Dec-22,560,820.75,214.05,0.95
BHARTIARTL,29-Dec-22,29-Dec-22,840,820.75,0.05,23.8
BHARTIARTL,29-Dec-22,29-Dec-22,600,820.75,176.45,2.75
BHARTIARTL,29-Dec-22,29-Dec-22,640,820.75,141.0,6.7
BHARTIARTL,29-Dec-22,29-Dec-22,700,820.75,110.5,0.05
BHARTIARTL,29-Dec-22,29-Dec-22,890,820.75,0.05,87.15
BHARTIARTL,29-Dec-22,29-Dec-22,850,820.75,0.05,31.3
BHARTIARTL,29-Dec-22,29-Dec-22,740,820.75,68.75,0.1
BHARTIARTL,29-Dec-22,29-Dec-22,920,820.75,0.05,152.15
BHARTIARTL,29-Dec-22,29-Dec-22,750,820.75,59.5,0.05
BHARTIARTL,29-Dec-22,29-Dec-22,710,820.75,87.4,22.05
BHARTIARTL,29-Dec-22,29-Dec-22,550,820.75,223.65,0.7
BHARTIARTL,29-Dec-22,29-Dec-22,680,820.75,108.8,13.9
BHARTIARTL,29-Dec-22,29-Dec-22,720,820.75,92.9,0.3
BHARTIARTL,29-Dec-22,29-Dec-22,820,820.75,0.05,4.65
BHARTIARTL,29-Dec-22,29-Dec-22,810,820.75,7.15,0.6
BHARTIARTL,29-Dec-22,29-Dec-22,950,820.75,0.05,178.35
BHARTIARTL,29-Dec-22,29-Dec-22,510,820.75,262.5,0.2
BHARTIARTL,29-Dec-22,29-Dec-22,970,820.75,0.05,196.4
BHARTIARTL,29-Dec-22,29-Dec-22,520,820.75,252.75,0.25
BHARTIARTL,29-Dec-22,29-Dec-22,590,820.75,185.7,2.15
BHARTIARTL,29-Dec-22,29-Dec-22,660,820.75,124.4,9.85
BHARTIARTL,29-Dec-22,29-Dec-22,670,820.75,116.5,11.75
BHARTIARTL,29-Dec-22,29-Dec-22,940,820.75,0.05,169.5
BHARTIARTL,29-Dec-22,29-Dec-22,790,820.75,21.75,0.05
BHARTIARTL,29-Dec-22,29-Dec-22,960,820.75,0.05,187.3
BHARTIARTL,29-Dec-22,29-Dec-22,870,820.75,0.05,66.5
BHARTIARTL,29-Dec-22,29-Dec-22,830,820.75,0.05,16.85
BHARTIARTL,29-Dec-22,29-Dec-22,490,820.75,282.15,0.1
BHARTIARTL,29-Dec-22,29-Dec-22,930,820.75,0.05,160.75
BHARTIARTL,29-Dec-22,29-Dec-22,530,820.75,243.0,0.35
BHARTIARTL,29-Dec-22,29-Dec-22,650,820.75,132.6,8.15
BHARTIARTL,29-Dec-22,29-Dec-22,780,820.75,26.85,0.05
BHARTIARTL,29-Dec-22,29-Dec-22,900,820.75,0.05,92.0
BHARTIARTL,29-Dec-22,29-Dec-22,760,820.75,49.0,0.05
BHARTIARTL,29-Dec-22,29-Dec-22,610,820.75,167.35,3.5
BHARTIARTL,29-Dec-22,29-Dec-22,690,820.75,101.4,16.4
BHARTIARTL,29-Dec-22,29-Dec-22,910,820.75,0.05,143.65
BHARTIARTL,29-Dec-22,29-Dec-22,540,820.75,233.3,0.5
BHARTIARTL,29-Dec-22,29-Dec-22,470,820.75,301.8,0.05
BHARTIARTL,29-Dec-22,29-Dec-22,630,820.75,149.6,5.45
BHARTIARTL,29-Dec-22,29-Dec-22,860,820.75,0.05,43.0
BHARTIARTL,29-Dec-22,29-Dec-22,620,820.75,158.4,4.4
BHARTIARTL,29-Dec-22,29-Dec-22,580,820.75,195.05,1.65
BHARTIARTL,29-Dec-22,29-Dec-22,480,820.75,291.95,0.05
BHARTIARTL,29-Dec-22,29-Dec-22,800,820.75,18.95,0.1
BHARTIARTL,29-Dec-22,29-Dec-22,570,820.75,204.5,1.25
BHARTIARTL,29-Dec-22,29-Dec-22,770,820.75,52.95,0.05
BHARTIARTL,29-Dec-22,29-Dec-22,880,820.75,0.05,72.0
BHARTIARTL,29-Dec-22,29-Dec-22,730,820.75,74.65,0.05
BHARTIARTL,29-Dec-22,29-Dec-22,500,820.75,272.3,0.15
BHARTIARTL,29-Dec-22,25-Jan-23,720,820.75,121.2,1.0
BHARTIARTL,29-Dec-22,25-Jan-23,550,820.75,235.85,0.2
BHARTIARTL,29-Dec-22,25-Jan-23,510,820.75,315.3,0.05
BHARTIARTL,29-Dec-22,25-Jan-23,570,820.75,256.55,0.4
BHARTIARTL,29-Dec-22,25-Jan-23,680,820.75,154.1,6.15
BHARTIARTL,29-Dec-22,25-Jan-23,610,820.75,218.05,1.2
BHARTIARTL,29-Dec-22,25-Jan-23,870,820.75,3.85,62.0
BHARTIARTL,29-Dec-22,25-Jan-23,920,820.75,1.05,110.25
BHARTIARTL,29-Dec-22,25-Jan-23,520,820.75,305.45,0.05
BHARTIARTL,29-Dec-22,25-Jan-23,810,820.75,24.0,12.35
BHARTIARTL,29-Dec-22,25-Jan-23,690,820.75,145.55,7.45
BHARTIARTL,29-Dec-22,25-Jan-23,840,820.75,10.2,27.9
BHARTIARTL,29-Dec-22,25-Jan-23,500,820.75,325.1,0.05
BHARTIARTL,29-Dec-22,25-Jan-23,560,820.75,266.3,0.25
BHARTIARTL,29-Dec-22,25-Jan-23,620,820.75,208.55,1.6
BHARTIARTL,29-Dec-22,25-Jan-23,740,820.75,106.2,1.65
BHARTIARTL,29-Dec-22,25-Jan-23,670,820.75,162.8,5.05
BHARTIARTL,29-Dec-22,25-Jan-23,530,820.75,295.65,0.1
BHARTIARTL,29-Dec-22,25-Jan-23,860,820.75,5.45,47.55
BHARTIARTL,29-Dec-22,25-Jan-23,930,820.75,0.9,117.85
BHARTIARTL,29-Dec-22,25-Jan-23,630,820.75,199.15,2.05
BHARTIARTL,29-Dec-22,25-Jan-23,650,820.75,180.7,3.25
BHARTIARTL,29-Dec-22,25-Jan-23,850,820.75,7.55,33.15
BHARTIARTL,29-Dec-22,25-Jan-23,820,820.75,18.45,16.65
BHARTIARTL,29-Dec-22,25-Jan-23,540,820.75,285.85,0.15
BHARTIARTL,29-Dec-22,25-Jan-23,710,820.75,129.1,1.3
BHARTIARTL,29-Dec-22,25-Jan-23,640,820.75,189.9,2.6
BHARTIARTL,29-Dec-22,25-Jan-23,790,820.75,30.05,6.65
BHARTIARTL,29-Dec-22,25-Jan-23,890,820.75,1.7,77.0
BHARTIARTL,29-Dec-22,25-Jan-23,750,820.75,66.2,2.1
BHARTIARTL,29-Dec-22,25-Jan-23,880,820.75,2.95,54.0
BHARTIARTL,29-Dec-22,25-Jan-23,950,820.75,0.85,133.65
BHARTIARTL,29-Dec-22,25-Jan-23,970,820.75,0.55,150.1
BHARTIARTL,29-Dec-22,25-Jan-23,910,820.75,1.35,102.8
BHARTIARTL,29-Dec-22,25-Jan-23,730,820.75,113.55,14.85
BHARTIARTL,29-Dec-22,25-Jan-23,940,820.75,0.85,125.65
BHARTIARTL,29-Dec-22,25-Jan-23,770,820.75,49.0,3.45
BHARTIARTL,29-Dec-22,25-Jan-23,830,820.75,14.05,21.3
BHARTIARTL,29-Dec-22,25-Jan-23,760,820.75,58.95,2.7
BHARTIARTL,29-Dec-22,25-Jan-23,660,820.75,171.7,2.0
BHARTIARTL,29-Dec-22,25-Jan-23,700,820.75,143.0,1.0
BHARTIARTL,29-Dec-22,25-Jan-23,800,820.75,30.55,9.25
BHARTIARTL,29-Dec-22,25-Jan-23,780,820.75,40.5,4.85
BHARTIARTL,29-Dec-22,25-Jan-23,590,820.75,237.2,0.7
BHARTIARTL,29-Dec-22,25-Jan-23,600,820.75,227.6,0.9
BHARTIARTL,29-Dec-22,25-Jan-23,580,820.75,246.85,0.5
BHARTIARTL,29-Dec-22,25-Jan-23,960,820.75,14.2,141.8
BHARTIARTL,29-Dec-22,25-Jan-23,900,820.75,1.75,85.0
BHARTIARTL,29-Dec-22,23-Feb-23,760,820.75,115.95,15.15
BHARTIARTL,29-Dec-22,23-Feb-23,850,820.75,40.0,47.2
BHARTIARTL,29-Dec-22,23-Feb-23,800,820.75,87.95,16.15
BHARTIARTL,29-Dec-22,23-Feb-23,690,820.75,173.95,4.3
BHARTIARTL,29-Dec-22,23-Feb-23,880,820.75,45.8,63.1
BHARTIARTL,29-Dec-22,23-Feb-23,820,820.75,75.65,33.9
BHARTIARTL,29-Dec-22,23-Feb-23,750,820.75,123.55,6.3
BHARTIARTL,29-Dec-22,23-Feb-23,860,820.75,54.6,52.2
BHARTIARTL,29-Dec-22,23-Feb-23,920,820.75,31.5,88.1
BHARTIARTL,29-Dec-22,23-Feb-23,830,820.75,69.95,38.05
BHARTIARTL,29-Dec-22,23-Feb-23,810,820.75,81.65,30.05
BHARTIARTL,29-Dec-22,23-Feb-23,970,820.75,18.9,124.7
BHARTIARTL,29-Dec-22,23-Feb-23,680,820.75,182.95,3.5
BHARTIARTL,29-Dec-22,23-Feb-23,930,820.75,28.5,94.95
BHARTIARTL,29-Dec-22,23-Feb-23,780,820.75,101.4,7.0
BHARTIARTL,29-Dec-22,23-Feb-23,710,820.75,156.4,6.45
BHARTIARTL,29-Dec-22,23-Feb-23,730,820.75,139.55,9.3
BHARTIARTL,29-Dec-22,23-Feb-23,940,820.75,25.8,102.05
BHARTIARTL,29-Dec-22,23-Feb-23,890,820.75,41.85,68.95
BHARTIARTL,29-Dec-22,23-Feb-23,770,820.75,108.55,17.65
BHARTIARTL,29-Dec-22,23-Feb-23,700,820.75,165.1,1.45
BHARTIARTL,29-Dec-22,23-Feb-23,910,820.75,34.7,81.45
BHARTIARTL,29-Dec-22,23-Feb-23,960,820.75,21.0,117.0
BHARTIARTL,29-Dec-22,23-Feb-23,950,820.75,23.3,109.45
BHARTIARTL,29-Dec-22,23-Feb-23,900,820.75,5.0,75.05
BHARTIARTL,29-Dec-22,23-Feb-23,720,820.75,147.9,7.75
BHARTIARTL,29-Dec-22,23-Feb-23,840,820.75,64.55,42.45
BHARTIARTL,29-Dec-22,23-Feb-23,790,820.75,94.5,23.25
BHARTIARTL,29-Dec-22,23-Feb-23,870,820.75,50.05,57.5
BHARTIARTL,29-Dec-22,23-Feb-23,740,820.75,131.45,11.0
BHARTIARTL,30-Dec-22,25-Jan-23,870,806.1,2.55,53.0
BHARTIARTL,30-Dec-22,25-Jan-23,820,806.1,13.7,21.75
BHARTIARTL,30-Dec-22,25-Jan-23,890,806.1,1.45,77.0
BHARTIARTL,30-Dec-22,25-Jan-23,560,806.1,266.3,0.25
BHARTIARTL,30-Dec-22,25-Jan-23,800,806.1,23.85,12.1
BHARTIARTL,30-Dec-22,25-Jan-23,610,806.1,218.05,1.2
BHARTIARTL,30-Dec-22,25-Jan-23,910,806.1,0.9,102.8
