symbol,date,expiry,strike price,underlying value,call price,put price
AXISBANK,29-Dec-22,29-Dec-22,780,934.55,154.8,0.05
AXISBANK,29-Dec-22,29-Dec-22,1030,934.55,0.05,298.1
AXISBANK,29-Dec-22,29-Dec-22,490,934.55,237.25,0.05
AXISBANK,29-Dec-22,29-Dec-22,690,934.55,76.3,36.9
AXISBANK,29-Dec-22,29-Dec-22,970,934.55,0.05,49.95
AXISBANK,29-Dec-22,29-Dec-22,570,934.55,163.65,6.05
AXISBANK,29-Dec-22,29-Dec-22,510,934.55,392.0,0.05
AXISBANK,29-Dec-22,29-Dec-22,740,934.55,187.0,0.05
AXISBANK,29-Dec-22,29-Dec-22,990,934.55,0.05,59.85
AXISBANK,29-Dec-22,29-Dec-22,1010,934.55,0.05,66.35
AXISBANK,29-Dec-22,29-Dec-22,890,934.55,38.85,0.05
AXISBANK,29-Dec-22,29-Dec-22,500,934.55,227.7,1.15
AXISBANK,29-Dec-22,29-Dec-22,1050,934.55,0.05,303.35
AXISBANK,29-Dec-22,29-Dec-22,1040,934.55,0.05,132.0
AXISBANK,29-Dec-22,29-Dec-22,820,934.55,99.0,0.05
AXISBANK,29-Dec-22,29-Dec-22,670,934.55,88.2,29.1
AXISBANK,29-Dec-22,29-Dec-22,630,934.55,115.45,16.95
AXISBANK,29-Dec-22,29-Dec-22,750,934.55,171.0,0.05
AXISBANK,29-Dec-22,29-Dec-22,1060,934.55,0.05,304.05
AXISBANK,29-Dec-22,29-Dec-22,700,934.55,245.0,0.05
AXISBANK,29-Dec-22,29-Dec-22,950,934.55,0.05,16.1
AXISBANK,29-Dec-22,29-Dec-22,650,934.55,101.3,0.1
AXISBANK,29-Dec-22,29-Dec-22,860,934.55,70.1,0.05
AXISBANK,29-Dec-22,29-Dec-22,770,934.55,97.0,3.55
AXISBANK,29-Dec-22,29-Dec-22,550,934.55,181.3,4.0
AXISBANK,29-Dec-22,29-Dec-22,960,934.55,0.05,29.95
AXISBANK,29-Dec-22,29-Dec-22,720,934.55,60.55,50.7
