symbol,date,expiry,strike price,underlying value,call price,put price
BAJAJ-AUTO,29-Dec-22,29-Dec-22,4350,3568.8,3.1,829.5
BAJAJ-AUTO,29-Dec-22,29-Dec-22,4100,3568.8,0.05,608.75
BAJAJ-AUTO,29-Dec-22,29-Dec-22,4000,3568.8,0.05,439.0
BAJAJ-AUTO,29-Dec-22,29-Dec-22,3150,3568.8,438.0,63.8
BAJAJ-AUTO,29-Dec-22,29-Dec-22,2850,3568.8,686.0,16.35
BAJAJ-AUTO,29-Dec-22,29-Dec-22,3250,3568.8,367.15,1.9
BAJAJ-AUTO,29-Dec-22,29-Dec-22,3700,3568.8,0.05,130.55
BAJAJ-AUTO,29-Dec-22,29-Dec-22,4150,3568.8,0.05,651.45
BAJAJ-AUTO,29-Dec-22,29-Dec-22,4400,3568.8,0.65,875.45
BAJAJ-AUTO,29-Dec-22,29-Dec-22,3050,3568.8,515.3,42.6
BAJAJ-AUTO,29-Dec-22,29-Dec-22,3200,3568.8,401.85,0.05
BAJAJ-AUTO,29-Dec-22,29-Dec-22,3450,3568.8,247.5,0.1
BAJAJ-AUTO,29-Dec-22,29-Dec-22,4500,3568.8,0.05,968.7
BAJAJ-AUTO,29-Dec-22,29-Dec-22,3650,3568.8,0.45,86.05
BAJAJ-AUTO,29-Dec-22,29-Dec-22,3600,3568.8,0.3,28.15
BAJAJ-AUTO,29-Dec-22,29-Dec-22,4050,3568.8,0.05,566.95
BAJAJ-AUTO,29-Dec-22,29-Dec-22,3300,3568.8,334.45,0.05
BAJAJ-AUTO,29-Dec-22,29-Dec-22,2700,3568.8,824.2,6.8
BAJAJ-AUTO,29-Dec-22,29-Dec-22,2950,3568.8,598.3,27.15
BAJAJ-AUTO,29-Dec-22,29-Dec-22,3100,3568.8,475.85,52.45
BAJAJ-AUTO,29-Dec-22,29-Dec-22,3550,3568.8,27.45,1.15
BAJAJ-AUTO,29-Dec-22,29-Dec-22,4300,3568.8,0.05,784.05
BAJAJ-AUTO,29-Dec-22,29-Dec-22,3950,3568.8,0.05,246.45
BAJAJ-AUTO,29-Dec-22,29-Dec-22,4700,3568.8,6.6,1159.05
BAJAJ-AUTO,29-Dec-22,29-Dec-22,3400,3568.8,189.9,0.2
BAJAJ-AUTO,29-Dec-22,29-Dec-22,4200,3568.8,0.1,590.0
BAJAJ-AUTO,29-Dec-22,29-Dec-22,3850,3568.8,0.05,290.0
