symbol,date,expiry,strike price,underlying value,call price,put price
BPCL,29-Dec-22,29-Dec-22,320,327.2,7.0,0.05
BPCL,29-Dec-22,29-Dec-22,415,327.2,0.05,75.45
BPCL,29-Dec-22,29-Dec-22,355,327.2,0.05,33.7
BPCL,29-Dec-22,29-Dec-22,275,327.2,45.05,0.05
BPCL,29-Dec-22,29-Dec-22,435,327.2,0.7,125.9
BPCL,29-Dec-22,29-Dec-22,290,327.2,31.1,0.05
BPCL,29-Dec-22,29-Dec-22,420,327.2,0.05,97.5
BPCL,29-Dec-22,29-Dec-22,365,327.2,0.05,61.75
BPCL,29-Dec-22,29-Dec-22,350,327.2,0.05,27.05
BPCL,29-Dec-22,29-Dec-22,280,327.2,44.0,0.05
BPCL,29-Dec-22,29-Dec-22,225,327.2,82.45,0.1
BPCL,29-Dec-22,29-Dec-22,260,327.2,51.85,0.1
BPCL,29-Dec-22,29-Dec-22,325,327.2,1.65,0.25
BPCL,29-Dec-22,29-Dec-22,240,327.2,68.7,1.85
BPCL,29-Dec-22,29-Dec-22,390,327.2,0.05,68.0
BPCL,29-Dec-22,29-Dec-22,430,327.2,0.05,121.1
BPCL,29-Dec-22,29-Dec-22,400,327.2,0.05,75.05
BPCL,29-Dec-22,29-Dec-22,385,327.2,0.1,79.1
BPCL,29-Dec-22,29-Dec-22,440,327.2,0.05,116.0
BPCL,29-Dec-22,29-Dec-22,410,327.2,0.2,102.1
BPCL,29-Dec-22,29-Dec-22,235,327.2,73.2,1.4
BPCL,29-Dec-22,29-Dec-22,285,327.2,34.1,0.1
BPCL,29-Dec-22,29-Dec-22,245,327.2,64.35,2.4
BPCL,29-Dec-22,29-Dec-22,375,327.2,0.05,70.3
BPCL,29-Dec-22,29-Dec-22,335,327.2,0.1,8.05
BPCL,29-Dec-22,29-Dec-22,345,327.2,0.05,20.2
BPCL,29-Dec-22,29-Dec-22,230,327.2,77.8,1.05
BPCL,29-Dec-22,29-Dec-22,305,327.2,22.0,0.05
BPCL,29-Dec-22,29-Dec-22,250,327.2,60.05,0.1
BPCL,29-Dec-22,29-Dec-22,255,327.2,55.9,3.8
BPCL,29-Dec-22,29-Dec-22,295,327.2,44.4,0.05
BPCL,29-Dec-22,29-Dec-22,330,327.2,0.15,3.7
BPCL,29-Dec-22,29-Dec-22,395,327.2,0.2,88.15
BPCL,29-Dec-22,29-Dec-22,370,327.2,0.05,46.35
BPCL,29-Dec-22,29-Dec-22,270,327.2,44.3,0.05
BPCL,29-Dec-22,29-Dec-22,340,327.2,0.05,13.2
BPCL,29-Dec-22,29-Dec-22,300,327.2,24.2,0.05
BPCL,29-Dec-22,29-Dec-22,310,327.2,17.5,0.05
BPCL,29-Dec-22,29-Dec-22,425,327.2,0.2,116.3
BPCL,29-Dec-22,29-Dec-22,380,327.2,0.05,57.5
BPCL,29-Dec-22,29-Dec-22,360,327.2,0.05,33.0
BPCL,29-Dec-22,29-Dec-22,315,327.2,7.0,0.05
BPCL,29-Dec-22,29-Dec-22,405,327.2,0.75,97.4
BPCL,29-Dec-22,29-Dec-22,265,327.2,48.0,0.05
BPCL,29-Dec-22,25-Jan-23,305,327.2,23.75,1.85
BPCL,29-Dec-22,25-Jan-23,300,327.2,28.3,1.35
BPCL,29-Dec-22,25-Jan-23,360,327.2,1.15,35.5
BPCL,29-Dec-22,25-Jan-23,280,327.2,38.6,8.55
BPCL,29-Dec-22,25-Jan-23,350,327.2,2.25,23.0
BPCL,29-Dec-22,25-Jan-23,365,327.2,0.9,59.05
BPCL,29-Dec-22,25-Jan-23,325,327.2,10.35,7.1
BPCL,29-Dec-22,25-Jan-23,320,327.2,13.3,5.1
BPCL,29-Dec-22,25-Jan-23,250,327.2,62.0,2.4
BPCL,29-Dec-22,25-Jan-23,420,327.2,0.1,93.5
BPCL,29-Dec-22,25-Jan-23,260,327.2,53.6,3.85
BPCL,29-Dec-22,25-Jan-23,285,327.2,35.25,1.0
BPCL,29-Dec-22,25-Jan-23,245,327.2,66.35,1.85
BPCL,29-Dec-22,25-Jan-23,225,327.2,84.75,0.55
BPCL,29-Dec-22,25-Jan-23,265,327.2,49.6,4.8
BPCL,29-Dec-22,25-Jan-23,255,327.2,57.75,3.1
BPCL,29-Dec-22,25-Jan-23,345,327.2,3.15,23.0
BPCL,29-Dec-22,25-Jan-23,270,327.2,45.75,5.85
BPCL,29-Dec-22,25-Jan-23,370,327.2,0.65,46.15
BPCL,29-Dec-22,25-Jan-23,235,327.2,75.4,1.05
BPCL,29-Dec-22,25-Jan-23,435,327.2,0.65,123.1
BPCL,29-Dec-22,25-Jan-23,240,327.2,70.85,1.4
BPCL,29-Dec-22,25-Jan-23,295,327.2,29.15,13.85
BPCL,29-Dec-22,25-Jan-23,315,327.2,19.4,3.55
BPCL,29-Dec-22,25-Jan-23,310,327.2,21.35,2.5
BPCL,29-Dec-22,25-Jan-23,395,327.2,2.25,85.4
BPCL,29-Dec-22,25-Jan-23,340,327.2,4.4,15.7
BPCL,29-Dec-22,25-Jan-23,230,327.2,80.05,0.8
BPCL,29-Dec-22,25-Jan-23,335,327.2,5.95,15.0
BPCL,29-Dec-22,25-Jan-23,330,327.2,8.0,9.45
BPCL,29-Dec-22,25-Jan-23,385,327.2,3.05,76.35
BPCL,29-Dec-22,25-Jan-23,410,327.2,1.4,99.3
BPCL,29-Dec-22,25-Jan-23,415,327.2,1.2,104.0
BPCL,29-Dec-22,25-Jan-23,380,327.2,0.35,54.2
BPCL,29-Dec-22,25-Jan-23,290,327.2,32.1,0.8
BPCL,29-Dec-22,25-Jan-23,430,327.2,0.75,118.3
BPCL,29-Dec-22,25-Jan-23,400,327.2,0.4,74.5
BPCL,29-Dec-22,25-Jan-23,425,327.2,0.9,113.5
BPCL,29-Dec-22,25-Jan-23,275,327.2,42.1,7.1
BPCL,29-Dec-22,25-Jan-23,390,327.2,0.25,64.0
BPCL,29-Dec-22,25-Jan-23,375,327.2,1.55,67.55
BPCL,29-Dec-22,25-Jan-23,440,327.2,0.2,112.0
BPCL,29-Dec-22,25-Jan-23,355,327.2,1.55,18.4
BPCL,29-Dec-22,25-Jan-23,405,327.2,1.65,94.6
BPCL,29-Dec-22,23-Feb-23,300,327.2,36.2,10.3
BPCL,29-Dec-22,23-Feb-23,380,327.2,5.85,58.65
BPCL,29-Dec-22,23-Feb-23,275,327.2,54.55,4.05
BPCL,29-Dec-22,23-Feb-23,310,327.2,30.05,14.0
BPCL,29-Dec-22,23-Feb-23,320,327.2,24.65,18.45
BPCL,29-Dec-22,23-Feb-23,270,327.2,58.65,3.25
BPCL,29-Dec-22,23-Feb-23,375,327.2,6.7,54.6
BPCL,29-Dec-22,23-Feb-23,395,327.2,3.85,71.4
BPCL,29-Dec-22,23-Feb-23,370,327.2,7.65,50.6
BPCL,29-Dec-22,23-Feb-23,330,327.2,19.95,23.6
BPCL,29-Dec-22,23-Feb-23,340,327.2,16.0,29.45
BPCL,29-Dec-22,23-Feb-23,400,327.2,3.35,48.2
BPCL,29-Dec-22,23-Feb-23,335,327.2,17.9,26.4
BPCL,29-Dec-22,23-Feb-23,315,327.2,27.25,16.1
BPCL,29-Dec-22,23-Feb-23,360,327.2,10.0,43.0
