symbol,date,expiry,strike price,underlying value,call price,put price
CIPLA,29-Dec-22,29-Dec-22,1010,1087.55,143.0,0.05
CIPLA,29-Dec-22,29-Dec-22,710,1087.55,416.6,0.05
CIPLA,29-Dec-22,29-Dec-22,780,1087.55,348.0,0.4
CIPLA,29-Dec-22,29-Dec-22,1100,1087.55,0.25,14.05
CIPLA,29-Dec-22,29-Dec-22,810,1087.55,318.9,0.8
CIPLA,29-Dec-22,29-Dec-22,890,1087.55,243.25,4.0
CIPLA,29-Dec-22,29-Dec-22,860,1087.55,271.15,2.3
CIPLA,29-Dec-22,29-Dec-22,760,1087.55,367.55,0.25
CIPLA,29-Dec-22,29-Dec-22,730,1087.55,396.95,0.1
CIPLA,29-Dec-22,29-Dec-22,920,1087.55,216.25,6.55
CIPLA,29-Dec-22,29-Dec-22,950,1087.55,190.4,0.05
CIPLA,29-Dec-22,29-Dec-22,840,1087.55,290.05,1.55
CIPLA,29-Dec-22,29-Dec-22,700,1087.55,426.45,0.05
CIPLA,29-Dec-22,29-Dec-22,1120,1087.55,0.15,32.85
CIPLA,29-Dec-22,29-Dec-22,940,1087.55,198.85,8.85
CIPLA,29-Dec-22,29-Dec-22,970,1087.55,173.85,13.4
CIPLA,29-Dec-22,29-Dec-22,1320,1087.55,0.4,200.35
CIPLA,29-Dec-22,29-Dec-22,1000,1087.55,150.4,0.05
CIPLA,29-Dec-22,29-Dec-22,1040,1087.55,121.8,0.05
CIPLA,29-Dec-22,29-Dec-22,820,1087.55,309.25,1.05
CIPLA,29-Dec-22,29-Dec-22,1330,1087.55,0.7,208.85
CIPLA,29-Dec-22,29-Dec-22,1220,1087.55,0.05,122.6
CIPLA,29-Dec-22,29-Dec-22,790,1087.55,338.25,0.5
CIPLA,29-Dec-22,29-Dec-22,980,1087.55,165.85,0.25
CIPLA,29-Dec-22,29-Dec-22,1140,1087.55,0.05,66.0
CIPLA,29-Dec-22,29-Dec-22,1230,1087.55,0.05,129.7
CIPLA,29-Dec-22,29-Dec-22,990,1087.55,158.05,0.3
CIPLA,29-Dec-22,29-Dec-22,750,1087.55,377.35,0.2
CIPLA,29-Dec-22,29-Dec-22,830,1087.55,299.65,1.25
CIPLA,29-Dec-22,29-Dec-22,930,1087.55,207.5,7.65
CIPLA,29-Dec-22,29-Dec-22,740,1087.55,387.15,0.15
CIPLA,29-Dec-22,29-Dec-22,1240,1087.55,0.05,136.95
CIPLA,29-Dec-22,29-Dec-22,910,1087.55,225.15,5.6
CIPLA,29-Dec-22,29-Dec-22,1260,1087.55,0.8,152.0
CIPLA,29-Dec-22,29-Dec-22,1200,1087.55,0.05,91.5
CIPLA,29-Dec-22,29-Dec-22,1180,1087.55,0.1,96.1
CIPLA,29-Dec-22,29-Dec-22,1130,1087.55,0.05,43.3
CIPLA,29-Dec-22,29-Dec-22,1060,1087.55,13.75,0.25
CIPLA,29-Dec-22,29-Dec-22,960,1087.55,182.05,11.75
CIPLA,29-Dec-22,29-Dec-22,1050,1087.55,27.0,0.05
CIPLA,29-Dec-22,29-Dec-22,720,1087.55,406.8,0.1
CIPLA,29-Dec-22,29-Dec-22,1150,1087.55,0.05,68.0
