symbol,date,expiry,strike price,underlying value,call price,put price
HCLTECH,29-Dec-22,29-Dec-22,1130,1044.45,0.05,84.4
HCLTECH,29-Dec-22,29-Dec-22,770,1044.45,172.3,7.6
HCLTECH,29-Dec-22,29-Dec-22,740,1044.45,198.65,4.45
HCLTECH,29-Dec-22,29-Dec-22,940,1044.45,58.75,0.05
HCLTECH,29-Dec-22,29-Dec-22,900,1044.45,152.25,0.05
HCLTECH,29-Dec-22,29-Dec-22,1220,1044.45,0.05,186.5
HCLTECH,29-Dec-22,29-Dec-22,1200,1044.45,0.05,165.5
HCLTECH,29-Dec-22,29-Dec-22,1120,1044.45,0.05,75.0
HCLTECH,29-Dec-22,29-Dec-22,800,1044.45,147.4,0.1
HCLTECH,29-Dec-22,29-Dec-22,1060,1044.45,0.05,16.1
HCLTECH,29-Dec-22,29-Dec-22,1010,1044.45,33.0,0.05
HCLTECH,29-Dec-22,29-Dec-22,720,1044.45,216.9,0.1
HCLTECH,29-Dec-22,29-Dec-22,760,1044.45,180.9,6.4
HCLTECH,29-Dec-22,29-Dec-22,1050,1044.45,0.3,6.4
HCLTECH,29-Dec-22,29-Dec-22,880,1044.45,90.65,34.3
HCLTECH,29-Dec-22,29-Dec-22,1030,1044.45,15.1,0.15
HCLTECH,29-Dec-22,29-Dec-22,1260,1044.45,0.1,123.0
HCLTECH,29-Dec-22,29-Dec-22,830,1044.45,124.4,18.8
HCLTECH,29-Dec-22,29-Dec-22,890,1044.45,84.65,0.05
HCLTECH,29-Dec-22,29-Dec-22,1080,1044.45,0.05,35.7
HCLTECH,29-Dec-22,29-Dec-22,860,1044.45,103.35,27.35
HCLTECH,29-Dec-22,29-Dec-22,750,1044.45,189.7,5.35
HCLTECH,29-Dec-22,29-Dec-22,1000,1044.45,45.0,0.05
HCLTECH,29-Dec-22,29-Dec-22,1100,1044.45,0.05,53.95
HCLTECH,29-Dec-22,29-Dec-22,950,1044.45,84.35,0.05
HCLTECH,29-Dec-22,29-Dec-22,1280,1044.45,0.25,244.0
HCLTECH,29-Dec-22,29-Dec-22,1040,1044.45,5.05,0.75
HCLTECH,29-Dec-22,29-Dec-22,920,1044.45,68.35,0.05
HCLTECH,29-Dec-22,29-Dec-22,1250,1044.45,0.05,220.0
HCLTECH,29-Dec-22,29-Dec-22,850,1044.45,110.15,24.3
HCLTECH,29-Dec-22,29-Dec-22,930,1044.45,63.4,0.2
HCLTECH,29-Dec-22,29-Dec-22,870,1044.45,96.85,30.7
HCLTECH,29-Dec-22,29-Dec-22,780,1044.45,163.8,9.0
HCLTECH,29-Dec-22,29-Dec-22,730,1044.45,207.7,3.65
HCLTECH,29-Dec-22,29-Dec-22,1190,1044.45,0.05,254.45
HCLTECH,29-Dec-22,29-Dec-22,910,1044.45,73.5,0.05
HCLTECH,29-Dec-22,29-Dec-22,1230,1044.45,0.05,291.85
HCLTECH,29-Dec-22,29-Dec-22,1090,1044.45,0.05,50.0
HCLTECH,29-Dec-22,29-Dec-22,990,1044.45,43.05,0.05
HCLTECH,29-Dec-22,29-Dec-22,1240,1044.45,0.05,208.0
HCLTECH,29-Dec-22,29-Dec-22,970,1044.45,46.3,0.05
HCLTECH,29-Dec-22,29-Dec-22,1110,1044.45,0.05,73.95
HCLTECH,29-Dec-22,29-Dec-22,1170,1044.45,0.05,57.0
HCLTECH,29-Dec-22,29-Dec-22,1150,1044.45,0.05,108.0
HCLTECH,29-Dec-22,29-Dec-22,1070,1044.45,0.05,26.25
HCLTECH,29-Dec-22,29-Dec-22,790,1044.45,155.5,10.55
HCLTECH,29-Dec-22,29-Dec-22,840,1044.45,117.15,21.45
HCLTECH,29-Dec-22,29-Dec-22,980,1044.45,63.6,0.05
HCLTECH,29-Dec-22,29-Dec-22,1270,1044.45,0.4,329.95
HCLTECH,29-Dec-22,29-Dec-22,1160,1044.45,0.05,119.75
HCLTECH,29-Dec-22,29-Dec-22,820,1044.45,131.8,16.4
HCLTECH,29-Dec-22,29-Dec-22,1180,1044.45,0.05,145.0
HCLTECH,29-Dec-22,29-Dec-22,960,1044.45,50.2,0.05
HCLTECH,29-Dec-22,29-Dec-22,1140,1044.45,0.05,104.1
HCLTECH,29-Dec-22,29-Dec-22,810,1044.45,139.5,14.25
HCLTECH,29-Dec-22,29-Dec-22,1290,1044.45,0.05,258.0
HCLTECH,29-Dec-22,29-Dec-22,1020,1044.45,23.0,0.05
HCLTECH,29-Dec-22,29-Dec-22,1210,1044.45,0.1,273.05
HCLTECH,29-Dec-22,25-Jan-23,890,1044.45,168.45,12.25
HCLTECH,29-Dec-22,25-Jan-23,1130,1044.45,3.95,97.75
HCLTECH,29-Dec-22,25-Jan-23,1160,1044.45,1.95,128.0
HCLTECH,29-Dec-22,25-Jan-23,1230,1044.45,2.75,193.55
HCLTECH,29-Dec-22,25-Jan-23,810,1044.45,238.3,3.35
HCLTECH,29-Dec-22,25-Jan-23,720,1044.45,324.0,0.45
HCLTECH,29-Dec-22,25-Jan-23,1200,1044.45,1.1,159.3
HCLTECH,29-Dec-22,25-Jan-23,950,1044.45,90.0,3.85
HCLTECH,29-Dec-22,25-Jan-23,1090,1044.45,10.0,65.0
HCLTECH,29-Dec-22,25-Jan-23,1000,1044.45,53.35,12.4
HCLTECH,29-Dec-22,25-Jan-23,1020,1044.45,34.0,18.75
HCLTECH,29-Dec-22,25-Jan-23,880,1044.45,176.7,10.6
HCLTECH,29-Dec-22,25-Jan-23,1180,1044.45,0.8,145.0
HCLTECH,29-Dec-22,25-Jan-23,820,1044.45,229.15,4.0
HCLTECH,29-Dec-22,25-Jan-23,770,1044.45,275.8,1.5
HCLTECH,29-Dec-22,25-Jan-23,780,1044.45,266.35,1.85
HCLTECH,29-Dec-22,25-Jan-23,850,1044.45,202.3,6.7
HCLTECH,29-Dec-22,25-Jan-23,940,1044.45,130.2,4.7
HCLTECH,29-Dec-22,25-Jan-23,920,1044.45,144.9,18.2
HCLTECH,29-Dec-22,25-Jan-23,900,1044.45,130.95,2.1
HCLTECH,29-Dec-22,25-Jan-23,1010,1044.45,85.7,20.3
HCLTECH,29-Dec-22,25-Jan-23,860,1044.45,193.6,7.85
HCLTECH,29-Dec-22,25-Jan-23,1250,1044.45,0.7,210.0
HCLTECH,29-Dec-22,25-Jan-23,1150,1044.45,2.75,111.0
HCLTECH,29-Dec-22,25-Jan-23,1170,1044.45,2.0,145.2
HCLTECH,29-Dec-22,25-Jan-23,980,1044.45,103.35,7.8
HCLTECH,29-Dec-22,25-Jan-23,1290,1044.45,8.6,255.15
HCLTECH,29-Dec-22,25-Jan-23,730,1044.45,314.25,0.6
HCLTECH,29-Dec-22,25-Jan-23,930,1044.45,137.4,20.55
HCLTECH,29-Dec-22,25-Jan-23,1270,1044.45,10.45,228.15
HCLTECH,29-Dec-22,25-Jan-23,870,1044.45,185.05,9.15
HCLTECH,29-Dec-22,25-Jan-23,1240,1044.45,0.55,208.0
HCLTECH,29-Dec-22,25-Jan-23,1110,1044.45,5.65,82.45
HCLTECH,29-Dec-22,25-Jan-23,840,1044.45,211.1,5.7
HCLTECH,29-Dec-22,25-Jan-23,760,1044.45,285.35,1.2
HCLTECH,29-Dec-22,25-Jan-23,1190,1044.45,21.75,160.75
HCLTECH,29-Dec-22,25-Jan-23,740,1044.45,304.6,0.75
HCLTECH,29-Dec-22,25-Jan-23,800,1044.45,247.55,1.85
HCLTECH,29-Dec-22,25-Jan-23,1100,1044.45,7.85,66.25
